alert_id,reading_id,engineer_id,description,status,severity
1,2,1,Перегрев корпуса редуктора,New,High
2,4,3,Критическая вибрация подшипника,In Progress,Critical
3,6,6,Превышение уровня шума,New,Medium
4,8,4,Критический уровень частиц износа,Resolved,Critical
5,10,1,Повышение температуры масла,New,High
6,12,3,Повышенная вибрация насоса,In Progress,High
7,14,6,Акустическая аномалия,New,Medium
8,16,15,Загрязнение смазки,New,High
9,18,3,Перегрев турбины,New,Critical
10,20,3,Вибрационный резонанс,New,High
11,2,7,Вторичный сигнал перегрева,New,High
12,4,8,Диагностика вибрации,New,Critical
13,6,9,Шум в машзале,New,Low
14,8,10,Проверка фильтрации,New,High
15,10,11,Температурный дрейф,New,Medium
16,12,12,Механический износ,New,High
17,14,13,Звуковая проверка,New,Low
18,16,14,Анализ частиц,New,High
19,18,16,Термический удар,New,Critical
20,20,17,Биение вала,New,High
