mechanism_id,model,installation_date,location
1,Редуктор Ц2У-200,2025-01-10,"Цех 1, Сектор А"
2,Насос НШ-50,2025-02-15,"Цех 1, Сектор Б"
3,Турбина Т-100,2024-12-01,"Энергоблок 2"
4,Компрессор КМ-4,2025-03-20,"Цех 3"
5,Двигатель Д-245,2025-01-05,"Стенд 5"
6,Редуктор Ц3У-160,2025-02-10,"Цех 1, Сектор А"
7,Насос ЭЦВ,2025-04-01,"Насосная станция"
8,Пресс П-400,2024-10-15,"Кузнечный цех"
9,Станок ЧПУ-500,2025-03-12,"Цех 2"
10,Вентилятор ВЦ-4,2025-02-28,"Система вытяжки"
11,Редуктор 1Ц2У,2025-01-20,"Цех 1"
12,Насос центробежный,2025-03-05,"Блок охлаждения"
13,Турбина К-200,2024-11-11,"Энергоблок 1"
14,Мотор-редуктор,2025-02-20,"Конвейерная лента"
15,Генератор Г-1000,2025-01-30,"Машзал"
16,Подъемник ПГ-2,2024-09-05,"Склад"
17,Мешалка М-50,2025-04-05,"Химблок"
18,Конвейер К-300,2025-02-25,"Участок сборки"
19,Дробилка ДМ-2,2025-03-15,"Участок подготовки"
20,Кран-балка,2024-12-15,"Цех 2"
