reading_id,sensor_id,value,recorded_at
1,1,45.2,2026-04-09 08:00:00
2,1,92.5,2026-04-09 08:05:00
3,2,3.1,2026-04-09 08:00:00
4,2,14.8,2026-04-09 08:05:00
5,3,75.0,2026-04-09 08:00:00
6,3,105.2,2026-04-09 08:05:00
7,4,10.0,2026-04-09 08:00:00
8,4,210.0,2026-04-09 08:05:00
9,5,40.1,2026-04-09 08:00:00
10,5,88.4,2026-04-09 08:05:00
11,6,2.5,2026-04-09 08:00:00
12,6,13.1,2026-04-09 08:05:00
13,7,70.5,2026-04-09 08:00:00
14,7,102.0,2026-04-09 08:05:00
15,8,5.0,2026-04-09 08:00:00
16,8,180.0,2026-04-09 08:05:00
17,9,42.0,2026-04-09 08:00:00
18,9,95.1,2026-04-09 08:05:00
19,10,4.2,2026-04-09 08:00:00
20,10,15.5,2026-04-09 08:05:00
